,Macro-F1,Strict-Macro-F1,Retrieval_Method,Verifier_Method,DS_Settings,Time (s)
0,0.5071681760331535,0.5007885907061999,rerank-nv-embed-v1,llama3-1-8b,nopre-nam-bio,229.01536011695862
1,0.708888888888889,0.6961053837342498,rerank-nv-embed-v1,llama3-1-70b,nopre-nam-bio,730.0691015720367
2,0.7099568965517241,0.6913175675675677,rerank-nv-embed-v1,llama3-1-405b,nopre-nam-bio,839.9550271034241
3,0.5801282051282052,0.5683760683760685,rerank-nv-embed-v1,llama3-1-8b,nopre-nonam-nobio,231.05654668807983
4,0.7672060409924487,0.7595159515951595,rerank-nv-embed-v1,llama3-1-70b,nopre-nonam-nobio,863.0112652778625
5,0.7463679312304632,0.735498366013072,rerank-nv-embed-v1,llama3-1-405b,nopre-nonam-nobio,791.7430062294006
6,0.6314109487124103,0.620890461447737,rerank-nv-embed-v1,llama3-1-8b,pre-nam-bio,230.7905387878418
7,0.7052380676664157,0.6923061622309742,rerank-nv-embed-v1,llama3-1-70b,pre-nam-bio,1028.1907260417938
8,0.7210132703553757,0.7019671841919548,rerank-nv-embed-v1,llama3-1-405b,pre-nam-bio,746.702996969223
9,0.6091499253799982,0.5974814355117897,rerank-nv-embed-v1,llama3-1-8b,pre-nonam-nobio,278.86255955696106
10,0.7742708312623018,0.76246580460579,rerank-nv-embed-v1,llama3-1-70b,pre-nonam-nobio,848.4469468593597
11,0.7668087524865018,0.7517144128638603,rerank-nv-embed-v1,llama3-1-405b,pre-nonam-nobio,768.5926225185394
